shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
臺中市東勢區慶福社區活動中心,臺中市東勢區,True,100,台中,台中市,45,良好,17423.696154205703,Safe,"水災,土石流",24.182864,120.840965
龍井國小操場、龍騰館,臺中市龍井區,True,150,台中,台中市,45,良好,15124.603849338268,Safe,"水災,震災,海嘯",24.183711,120.529836
永安國小（永安館、操場）,臺中市西屯區,True,1954,台中,台中市,45,良好,6425.512793080497,Safe,"水災,震災",24.184845,120.625082
陳平國民小學（地下活動中心）,臺中市北屯區,True,443,台中,台中市,45,良好,4228.065737388335,Safe,"水災,震災,土石流",24.185321,120.667549
東海國小（操場、籃球場）,臺中市西屯區,True,432,台中,台中市,45,良好,9527.662459831616,Safe,震災,24.18602,120.5896
后庄社區活動中心,臺中市北屯區,True,80,台中,台中市,45,良好,4575.508063561445,Safe,"水災,震災,土石流",24.18809,120.66498
麗陽營區,臺中市和平區,True,120,台中,台中市,45,良好,32072.713228414086,Safe,"水災,震災,海嘯",24.1883,120.9866
福科國中（操場、籃球場）,臺中市西屯區,True,1542,台中,台中市,45,良好,7622.21140300763,Safe,震災,24.1892,120.6138
龍崗社區活動中心,臺中市龍井區,True,30,台中,台中市,45,良好,13561.029719122957,Safe,"水災,海嘯",24.189607,120.548065
松竹國民小學（勁竹及松青樓地下室）,臺中市北屯區,True,643,台中,台中市,45,良好,4972.595242708455,Safe,"水災,震災,土石流",24.190797,120.686684
仁美國民小學（地下室、活動中心、操場）,臺中市北屯區,True,2421,台中,台中市,45,良好,4972.595242708455,Safe,"水災,震災,土石流",24.190797,120.686684
臺中市東勢區慶福里社區活動中心戶外停車場,臺中市東勢區,True,50,台中,台中市,45,良好,17925.09409159367,Safe,"水災,震災,土石流",24.191,120.8438
龍井國中操場,臺中市龍井區,True,100,台中,台中市,45,良好,14045.576261650129,Safe,"水災,海嘯",24.192285,120.544059
龍井區公所禮堂,臺中市龍井區,True,80,台中,台中市,45,良好,13916.640526502304,Safe,"水災,海嘯",24.19268,120.545584
協成國小（教學及行政大樓）,臺中市新社區,True,100,台中,台中市,45,良好,15050.460806747711,Safe,"水災,震災,土石流",24.192772,120.813491
四張犁國民中學（活動中心、操場）,臺中市北屯區,True,910,台中,台中市,45,良好,5110.678353806278,Safe,"水災,震災,土石流",24.193528,120.677436
國安國小（新大樓活動中心、操場）,臺中市西屯區,True,1509,台中,台中市,45,良好,8298.449087030123,Safe,"水災,震災",24.193578,120.609081
新興國民小學（禮堂、操場）,臺中市北屯區,True,773,台中,台中市,45,良好,5377.641734062044,Safe,"水災,震災,土石流",24.195039,120.662753
四張犁國民小學（操場）,臺中市北屯區,True,1209,台中,台中市,45,良好,5377.641734062044,Safe,"水災,震災,土石流",24.195039,120.662753
龍泉國小操場,臺中市龍井區,True,100,台中,台中市,45,良好,13870.508739078683,Safe,"水災,海嘯",24.195841,120.547464
四民里仁和里仁美里同榮里聯合活動中心室內、室外,臺中市北屯區,True,1250,台中,台中市,45,良好,5445.327646264239,Safe,"水災,震災,土石流",24.196262,120.680523
頭家國小-多功能教室,臺中市潭子區,True,160,台中,台中市,45,良好,5945.628442337413,Safe,"水災,震災",24.197026,120.696224
